Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,SECCHI,F_SECCHI,TKN,F_TKN,TON,F_TON,FECCOL,F_FECCOL
gtmfmnut,1/9/2013 12:01,1,1,,0.009,,0.022,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.006,,0.016,,0.476,,1.7,,1.9,,0.5,<1> [SBL],5,,17.5,,35.77,,6.93,,8,,,,,,0.47,,0.46,,8,<1> [SUL] (CHB)
gtmfmnut,1/9/2013 12:18,1,2,,0.009,,0.026,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.006,,0.016,,0.436,,1.7,,1.8,,0.55,<1> [SBL],12,<0> (CSM),17.4,,35.67,,7.05,,8.01,,,,,,0.43,,0.42,,2,<1> [SUL] (CHB)
gtmpcnut,1/9/2013 10:53,1,1,,0.02,,0.069,,0.016,<1> [SBL],0.002,<1> [SBL],0.033,,0.034,,0.05,,0.564,,4.5,,5.8,,2,,22,<0> (CSM),18.7,,28.6,,6.5,,7,,,,1,,0.53,,0.514,,180,<1> [SUL] (CHB)
gtmpcnut,1/9/2013 11:19,1,2,,0.022,,0.073,,0.01,<1> [SBL],0.002,<1> [SBL],0.008,,0.008,,0.018,,0.558,,4.6,,5.6,,1.4,,17,,18.9,,27.1,,6.37,,7,,,,,,0.55,,0.54,,190,<1> [SUL] (CHB)
gtmpcnut,1/8/2013 9:30,2,1,,0.014,<1> (CHB),0.038,,0.01,<1> [SBL],0.002,<1> [SBL] (CHB),0.005,<1> (CHB),0.005,,0.015,,0.435,,1,<1> (CHB),1.4,<1> (CHB),0.66,<1> (CHB),4,,,,,,,,,,,,,,0.43,,0.42,,,
gtmpcnut,1/8/2013 12:00,2,1,,0.026,,0.055,,0.012,,0.002,<1> [SBL],0.013,,0.013,,0.025,,0.533,,2.7,,3.4,,1,,5,,,,,,,,,,,,,,0.52,,0.508,,220,<1> (CHB)
gtmpcnut,1/8/2013 14:30,2,1,,0.032,,0.059,,0.01,<1> [SBL],0.002,<1> [SBL],0.01,,0.01,,0.02,,0.5,,3.5,,4.4,,1.2,,4,,,,,,,,,,,,,,0.49,,0.48,,230,<1> [SUL] (CHB)
gtmpcnut,1/8/2013 17:00,2,1,,0.028,,0.062,,0.01,<1> [SBL],0.002,,0.007,,0.01,,0.02,,0.54,,4.7,,5.6,,1.1,,4,,,,,,,,,,,,,,0.53,,0.52,,320,<1> (CHB)
gtmpcnut,1/8/2013 19:30,2,1,,0.025,,0.056,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.007,,0.017,,0.487,,2.6,,3.2,,0.79,,6,,,,,,,,,,,,,,0.48,,0.47,,370,<1> (CHB)
gtmpcnut,1/8/2013 22:00,2,1,,0.026,,0.052,,0.01,<1> [SBL],0.002,<1> [SBL],0.012,,0.012,,0.022,,0.532,,2.9,,3.6,,1.1,,5,,,,,,,,,,,,,,0.52,,0.51,,310,<1> (CHB)
gtmpcnut,1/9/2013 0:30,2,1,,0.029,,0.061,,0.011,,0.002,<1> [SBL],0.01,,0.01,,0.021,,0.47,,4.3,,4.9,,0.85,,4,,,,,,,,,,,,,,0.46,,0.449,,210,<1> (CHB)
gtmpcnut,1/9/2013 3:00,2,1,,0.031,,0.062,,0.016,,0.002,<1> [SBL],0.011,,0.011,,0.027,,0.551,,3.4,,4.2,,1.1,,6,,,,,,,,,,,,,,0.54,,0.524,,240,<1> (CHB)
gtmpcnut,1/9/2013 5:30,2,1,,0.032,,0.058,,0.012,,0.002,,0.008,,0.01,,0.022,,0.52,,2.8,,3.4,,0.92,,5,,,,,,,,,,,,,,0.51,,0.498,,200,<1> [SUL] (CHB)
gtmpcnut,1/9/2013 8:00,2,1,,0.024,,0.05,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.007,,0.017,,0.557,,2.3,,3,,1,,4,,,,,,,,,,,,,,0.55,,0.54,,310,<1> (CHB)
gtmpcnut,1/9/2013 10:30,2,1,,0.019,,0.039,,0.01,<1> [SBL],0.002,<1> [SBL],0.008,,0.007,,0.017,,0.507,,1.5,,1.9,,0.59,,6,,,,,,,,,,,,,,0.5,,0.49,,88,<1> (CHB)
gtmpinut,1/9/2013 9:15,1,1,,0.026,,0.049,,0.018,,0.002,<1> [SBL],0.015,,0.015,,0.033,,0.585,,3.5,,4.5,,1.3,,11,,16.4,,31.67,,6.31,,7.79,,,,,,0.57,,0.552,,8,<1> [SUL] (CHB)
gtmpinut,1/9/2013 9:23,1,2,,0.017,,0.05,,0.02,,0.002,<1> [SBL],0.015,,0.015,,0.035,,0.525,,3.8,,4.8,,1.5,,12,,16.4,,31.67,,6.31,,7.79,,,,,,0.51,,0.49,,21,<1> [SUL] (CHB)
gtmssnut,1/9/2013 10:50,1,1,,0.017,,0.045,,0.016,,0.002,<1> [SBL],0.02,,0.02,,0.036,,0.53,,3.4,,4.3,,1.2,,13,,17.1,,34.72,,7.45,,7.95,,,,,,0.51,,0.494,,30,<1> [SUL] (CHB)
gtmssnut,1/9/2013 11:03,1,2,,0.018,,0.04,,0.018,,0.002,<1> [SBL],0.02,,0.02,,0.038,,0.45,,3.4,,4.3,,1.2,,6,,17.2,,34.71,,7.48,,7.96,,,,,,0.43,,0.412,,31,<1> [SUL] (CHB)
gtmfmnut,2/7/2013 10:35,1,1,,0.011,,0.029,,0.015,,0.002,<1> [SBL],0.004,<1> [SBL],0.004,<1> [SBL],0.019,,0.314,,1.3,,1.3,,0.45,<1> [SBL],3,<1> [SBL],17.3,,36.86,,6.09,,7.94,,,,,,0.31,,0.295,,2,<1> [SBL] (CHB)
gtmfmnut,2/7/2013 10:47,1,2,,0.012,,0.029,,0.016,,0.002,<1> [SBL],0.005,,0.005,,0.021,,0.355,,1.1,,1.3,,0.45,<1> [SBL],3,,17.3,,36.86,,6.36,,7.94,,,,,,0.35,,0.334,,2,<1> [SBL] (CHB)
gtmpcnut,2/7/2013 10:23,1,1,,0.037,,0.073,,0.11,,0.002,,0.01,,0.012,,0.122,,1.912,,5.8,,6.7,,1.2,,21,<0> (CSM),18.5,,26.6,,7.92,,7,,,,,,1.9,,1.79,,34,<1> [SUL] (CHB)
gtmpcnut,2/7/2013 10:39,1,2,,0.029,,0.073,,0.033,,0.002,<1> [SBL],0.007,,0.009,,0.042,,1.109,,6.5,,7.4,,1.2,,14,,18.6,,25,,7.18,,7,,,,,,1.1,,1.067,,11,<1> [SUL] (CHB)
gtmpcnut,2/6/2013 9:30,2,1,,0.028,<1> (CHB),0.056,,0.01,<1> [SBL],0.002,<1> [SBL] (CHB),0.005,<1> (CHB),0.005,,0.015,,0.385,,3.9,,4.5,,0.75,,8,,,,,,,,,,,,,,0.38,,0.37,,5,<1> [SUL] (CHB)
gtmpcnut,2/6/2013 12:00,2,1,,0.03,,0.06,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.007,,0.017,,0.347,,7.1,,8.2,,1.3,,7,,,,,,,,,,,,,,0.34,,0.33,,7,<1> [SUL] (CHB)
gtmpcnut,2/6/2013 14:30,2,1,,0.033,,0.076,,0.01,<1> [SBL],0.002,<1> [SBL],0.006,,0.006,,0.016,,0.546,,6.2,,7,,0.9,,15,,,,,,,,,,,,,,0.54,,0.53,,13,<1> [SUL] (CHB)
gtmpcnut,2/6/2013 17:00,2,1,,0.032,,0.068,,0.01,<1> [SBL],0.002,<1> [SBL],0.008,,0.008,,0.018,,0.508,,9.4,,11,,1.7,,8,,,,,,,,,,,,,,0.5,,0.49,,38,<1> [SUL] (CHB)
gtmpcnut,2/6/2013 19:30,2,1,,0.027,,0.058,,0.01,<1> [SBL],0.002,<1> [SBL],0.005,,0.006,,0.016,,0.506,,7.8,,8.8,,1.3,,7,,,,,,,,,,,,,,0.5,,0.49,,2,<1> [SBL] (CHB)
gtmpcnut,2/6/2013 22:00,2,1,,0.03,,0.068,,0.01,<1> [SBL],0.002,<1> [SBL],0.006,,0.006,,0.016,,0.536,,6.5,,7.6,,1.3,,7,,,,,,,,,,,,,,0.53,,0.52,,8,<1> [SUL] (CHB)
gtmpcnut,2/7/2013 0:30,2,1,,0.03,,0.069,,0.01,<1> [SBL],0.002,<1> [SBL],0.006,,0.006,,0.016,,0.546,,9.3,,11,,1.5,,9,,,,,,,,,,,,,,0.54,,0.53,,12,<1> [SUL] (CHB)
gtmpcnut,2/7/2013 3:00,2,1,,0.03,,0.076,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.007,,0.017,,0.547,,7.2,,8.6,,1.8,,10,,,,,,,,,,,,,,0.54,,0.53,,16,<1> [SUL] (CHB)
gtmpcnut,2/7/2013 5:30,2,1,,0.03,,0.071,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.007,,0.017,,0.477,,9,,10,,1.4,,8,,,,,,,,,,,,,,0.47,,0.46,,26,<1> [SUL] (CHB)
gtmpcnut,2/7/2013 8:00,2,1,,0.029,,0.062,,0.01,<1> [SBL],0.002,<1> [SBL],0.005,,0.005,,0.015,,0.525,,4,,4.9,,1.3,,14,,,,,,,,,,,,,,0.52,,0.51,,7,<1> [SUL] (CHB)
gtmpcnut,2/7/2013 10:30,2,1,,0.026,,0.054,,0.01,<1> [SBL],0.002,<1> [SBL],0.004,,0.004,,0.014,,0.704,,4.9,,5.8,,1.2,,13,,,,,,,,,,,,,,0.7,,0.69,,10,<1> [SUL] (CHB)
gtmpinut,2/7/2013 8:01,1,1,,0.016,,0.039,,0.01,,0.002,<1> [SBL],0.004,<1> [SBL],0.004,<1> [SBL],0.014,,0.354,,2.9,,3.2,,0.5,<1> [SBL],7,,16,,34.98,,6.75,,7.75,,,,,,0.35,,0.34,,2,<1> [SUL] (CHB)
gtmpinut,2/7/2013 8:12,1,2,,0.016,,0.04,,0.01,<1> [SBL],0.002,<1> [SBL],0.024,,0.024,,0.034,,0.634,,2.6,,3,,0.5,,5,,16,,34.98,,6.69,,7.76,,,,,,0.61,,0.6,,2,<1> [SBL] (CHB)
gtmssnut,2/7/2013 9:30,1,1,,0.015,,0.037,,0.018,<1> (CSM),0.002,<1> [SBL],0.008,,0.008,,0.026,,0.638,,2.1,,2.5,,0.61,,8,,16.5,,36.33,,6.57,,7.91,,,,,,0.63,,0.612,,5,<1> [SUL] (CHB)
gtmssnut,2/7/2013 9:40,1,2,,0.016,,0.043,,0.022,,0.002,<1> [SBL],0.016,,0.016,,0.038,,0.446,,2.6,,3.3,,0.96,,8,,16.6,,36.56,,6.17,,7.91,,,,,,0.43,,0.408,,7,<1> [SUL] (CHB)
gtmfmnut,3/7/2013 10:41,1,1,,0.011,,0.029,,0.01,<1> [SBL],0.002,<1> [SBL],0.004,<1> [SBL],0.004,,0.014,,0.384,,1.5,,1.6,,0.5,<1> [SBL],4,,14,,36.91,,8.09,,8.07,,,,,,0.38,,0.37,,2,<1> [SBL] (CHB)
gtmfmnut,3/7/2013 10:49,1,2,,0.012,,0.029,,0.01,<1> [SBL],0.002,<1> [SBL],0.012,,0.012,,0.022,,0.332,,1.6,,1.6,,0.6,<1> [SBL],7,,14,,36.91,,8.09,,8.07,,,,,,0.32,,0.31,,2,<1> [SBL] (CHB)
gtmpcnut,3/7/2013 10:07,1,1,,0.04,,0.082,,0.01,<1> [SBL],0.002,<1> [SBL],0.048,,0.049,,0.059,,0.709,,3.5,,3.9,,1.1,<1> [SBL],16,,12.96,,28.76,,7.43,,8.22,,,,,,0.66,,0.65,,3,<1> [SUL] (CHB)
gtmpcnut,3/7/2013 10:30,1,2,,0.035,,0.072,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.007,,0.017,,0.537,,3.5,,4.2,,1.1,,13,,13.03,,28.16,,7.47,,8.21,,,,,,0.53,,0.52,,3,<1> [SUL] (CHB)
gtmpcnut,3/6/2013 9:15,2,1,,0.033,<1> (CHB),0.057,,0.016,,0.002,<1> [SBL] (CHB),0.007,<1> (CHB),0.008,,0.024,,0.418,,1.9,<1> (CHB),2.8,<1> (CHB),1.3,<1> (CHB),6,,,,,,,,,,,,,,0.41,,0.394,,8,<1> [SUL] (CHB)
gtmpcnut,3/6/2013 11:45,2,1,,0.037,,0.069,,0.056,,0.002,<1> [SBL] (CHB),0.01,<1> (CHB),0.01,,0.066,,0.5,,2.4,,3.7,,1.9,,7,,,,,,,,,,,,,,0.49,,0.434,,3,<1> [SUL] (CHB)
gtmpcnut,3/6/2013 14:15,2,1,,0.037,,0.077,,0.05,,0.002,<1> [SBL],0.007,,0.008,,0.058,,0.518,,2.3,,3.6,,2.1,,16,,,,,,,,,,,,,,0.51,,0.46,,2,<1> [SBL] (CHB)
gtmpcnut,3/6/2013 16:45,2,1,,0.038,,0.066,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.008,,0.018,,0.368,,5.1,,6.7,,2.5,,8,,,,,,,,,,,,,,0.36,,0.35,,10,<1> [SUL] (CHB)
gtmpcnut,3/6/2013 19:15,2,1,,0.035,,0.082,,0.01,<1> [SBL],0.002,<1> [SBL],0.006,,0.006,,0.016,,0.546,,3.7,,5.1,,2.1,,27,,,,,,,,,,,,,,0.54,,0.53,,2,<1> [SUL] (CHB)
gtmpcnut,3/6/2013 21:45,2,1,,0.04,,0.095,,0.03,,0.002,<1> [SBL],0.005,,0.006,,0.036,,0.686,,2.7,,4.2,,2.2,,34,,,,,,,,,,,,,,0.68,,0.65,,3,<1> [SUL] (CHB)
gtmpcnut,3/7/2013 0:15,2,1,,0.048,,0.1,,0.091,,0.002,<1> [SBL],0.008,,0.009,,0.1,,0.689,,2.4,,3.8,,2.2,,24,,,,,,,,,,,,,,0.68,,0.589,,3,<1> [SUL] (CHB)
gtmpcnut,3/7/2013 2:45,2,1,,0.047,,0.1,,0.1,,0.002,<1> [SBL],0.007,,0.008,,0.108,,0.728,,1.4,,2.3,,1.4,,24,,,,,,,,,,,,,,0.72,,0.62,,2,<1> [SBL] (CHB)
gtmpcnut,3/7/2013 5:15,2,1,,0.032,,0.086,,0.01,<1> [SBL],0.002,<1> [SBL],0.006,,0.006,,0.016,,0.636,,3.6,,5.2,,2.4,,24,,,,,,,,,,,,,,0.63,,0.62,,2,<1> [SUL] (CHB)
gtmpcnut,3/7/2013 7:45,2,1,,0.028,,0.073,,0.01,<1> [SBL],0.002,<1> [SBL],0.014,,0.014,,0.024,,0.604,,2.5,,3.5,,1.5,,18,,,,,,,,,,,,,,0.59,,0.58,,5,<1> [SUL] (CHB)
gtmpcnut,3/7/2013 10:15,2,1,,0.03,,0.061,,0.01,<1> [SBL],0.002,<1> [SBL],0.004,<1> [SBL],0.004,<1> [SBL],0.014,,0.494,,1.9,,2.6,,1.1,,11,,,,,,,,,,,,,,0.49,,0.48,,8,<1> [SUL] (CHB)
gtmpinut,3/7/2013 7:56,1,1,,0.02,,0.054,,0.01,<1> [SBL],0.002,<1> [SBL],0.004,<1> [SBL],0.004,<1> [SBL],0.014,,0.444,,3,,3.6,,0.86,,11,<0> (CSM),13.9,,33.67,,8.9,,7.8,,,,,,0.44,,0.43,,5,<1> [SUL] (CHB)
gtmpinut,3/7/2013 8:15,1,2,,0.019,,0.046,,0.01,<1> [SBL],0.002,<1> [SBL],0.004,<1> [SBL],0.004,<1> [SBL],0.014,,0.464,,3.3,,3.8,,0.73,,6,,13.9,,33.66,,8.83,,7.8,,,,,,0.46,,0.45,,2,<1> [SBL] (CHB)
gtmssnut,3/7/2013 9:43,1,1,,0.017,,0.038,,0.01,<1> [SBL],0.002,<1> [SBL],0.017,,0.018,,0.028,,0.338,,2,,2.2,,0.5,<1> [SBL],7,,14.7,,36.5,,8.24,,8.05,,,,,,0.32,,0.31,,16,<1> [SUL] (CHB)
gtmssnut,3/7/2013 9:50,1,2,,0.022,,0.044,,0.01,<1> [SBL],0.002,<1> [SBL],0.024,,0.026,,0.036,,0.396,,2,,2.3,,0.5,<1> [SBL],8,,14.7,,36.48,,8.2,,8.04,,,,,,0.37,,0.36,,13,<1> [SUL] (CHB)
gtmfmnut,4/23/2013 10:32,1,1,,0.043,,0.12,,0.074,,0.003,,0.017,,0.02,,0.094,,0.49,,2.9,,3.5,,0.76,,14,,19.9,,34.3,,5.59,,7.71,,,,,,0.47,,0.396,,3,<1> [SUL] (CHB)
gtmfmnut,4/23/2013 10:40,1,2,,0.032,,0.056,,0.073,,0.003,,0.017,,0.02,,0.093,,0.4,,3,,3.6,,0.89,,13,,19.9,,34.29,,5.82,,7.73,,,,,,0.38,,0.307,,6,<1> [SUL] (CHB)
gtmpcnut,4/23/2013 10:08,1,1,,0.024,,0.079,,0.028,,0.002,<1> [SBL],0.04,,0.042,,0.07,,0.642,,8.5,,10,,2,,21,,20.04,,28.7,,6.5,,7.76,,,,,,0.6,,0.572,,60,<1> (CHB)
gtmpcnut,4/23/2013 10:22,1,2,,0.022,,0.067,,0.026,,0.002,<1> [SBL],0.011,,0.013,,0.039,,0.513,,7.7,,8.6,,1.2,,16,,20.06,,27.74,,6.5,,7.75,,,,,,0.5,,0.474,,39,<1> [SUL] (CHB)
gtmpcnut,4/22/2013 8:30,2,1,,0.02,<1> (CHB),0.078,,0.038,,0.002,<1> [SBL] (CHB),0.011,<1> (CHB),0.012,,0.05,,0.562,,6.6,<1> (CHB),8.7,<1> (CHB),3.2,<1> (CHB),38,,,,,,,,,,,,,,0.55,,0.512,,36,<1> [SUL] (CHB)
gtmpcnut,4/22/2013 11:00,2,1,,0.018,,0.071,,0.036,,0.002,<1> [SBL],0.019,,0.02,,0.056,,0.52,,8,,9.3,,1.8,<1> [SBL],30,,,,,,,,,,,,,,0.5,,0.464,,41,<1> [SUL] (CHB)
gtmpcnut,4/22/2013 13:30,2,1,,0.027,,0.079,,0.028,,0.002,<1> [SBL],0.016,,0.017,,0.045,,0.787,,12,,14,,3.1,,22,,,,,,,,,,,,,,0.77,,0.742,,90,<1> (CHB)
gtmpcnut,4/22/2013 16:00,2,1,,0.032,,0.09,,0.032,,0.003,,0.012,,0.014,,0.046,,1.614,,14,,16,,3,,14,,,,,,,,,,,,,,1.6,,1.568,,78,<1> (CHB)
gtmpcnut,4/22/2013 18:30,2,1,,0.024,,0.11,,0.021,,0.002,<1> [SBL],0.012,,0.013,,0.034,,0.883,,9.4,,11,,2.7,,104,,,,,,,,,,,,,,0.87,,0.849,,98,<1> (CHB)
gtmpcnut,4/22/2013 21:00,2,1,,0.02,,0.08,,0.021,,0.002,<1> [SBL],0.02,,0.021,,0.042,,0.851,,6.4,,8.7,,3.5,,118,,,,,,,,,,,,,,0.83,,0.809,,31,<1> [SUL] (CHB)
gtmpcnut,4/22/2013 11:30,2,1,,0.02,,0.057,,0.025,,0.002,<1> [SBL],0.011,,0.012,,0.037,,0.502,,5.5,,6.7,,1.7,,24,,,,,,,,,,,,,,0.49,,0.465,,18,<1> [SUL] (CHB)
gtmpcnut,4/23/2013 2:00,2,1,,0.025,,0.095,,0.023,,0.002,<1> [SBL],0.01,,0.012,,0.035,,0.612,,7.2,,9.5,,3.4,,30,,,,,,,,,,,,,,0.6,,0.577,,52,<1> (CHB)
gtmpcnut,4/23/2013 4:30,2,1,,0.035,,0.084,,0.034,,0.002,<1> [SBL],0.012,,0.014,,0.048,,0.634,,8.6,,10,,2.1,,14,,,,,,,,,,,,,,0.62,,0.586,,96,<1> (CHB)
gtmpcnut,4/23/2013 7:00,2,1,,0.028,,0.099,,0.034,,0.002,<1> [SBL],0.011,,0.012,,0.046,,0.632,,8.1,,10,,3.3,,88,,,,,,,,,,,,,,0.62,,0.586,,56,<1> (CHB)
gtmpcnut,4/23/2013 9:30,2,1,,0.021,,0.069,,0.019,,0.002,<1> [SBL],0.009,,0.011,,0.03,,0.481,,8.6,,10,,2,,24,,,,,,,,,,,,,,0.47,,0.451,,40,<1> (CHB)
gtmpinut,4/23/2013 8:16,1,1,,0.031,,0.095,,0.062,,0.002,,0.008,,0.011,,0.073,,0.521,,3.5,<0> (CSM),4.9,<0> (CSM),2,<0> (CSM),20,,19.8,,32.8,,5.8,,7.51,,,,,,0.51,<1> (CSM),0.448,,4,<1> [SUL] (CHB)
